UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 21:53 ?        00:00:02 /sbin/init splash
root           2       0  0 21:53 ?        00:00:00 [kthreadd]
root           3       2  0 21:53 ?        00:00:00 [rcu_gp]
root           4       2  0 21:53 ?        00:00:00 [rcu_par_gp]
root           5       2  0 21:53 ?        00:00:00 [slub_flushwq]
root           6       2  0 21:53 ?        00:00:00 [netns]
root          11       2  0 21:53 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 21:53 ?        00:00:00 [rcu_tasks_kthread]
root          13       2  0 21:53 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 21:53 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 21:53 ?        00:00:01 [ksoftirqd/0]
root          16       2  0 21:53 ?        00:00:02 [rcu_preempt]
root          17       2  0 21:53 ?        00:00:00 [migration/0]
root          18       2  0 21:53 ?        00:00:00 [idle_inject/0]
root          19       2  0 21:53 ?        00:00:00 [cpuhp/0]
root          20       2  0 21:53 ?        00:00:00 [cpuhp/1]
root          21       2  0 21:53 ?        00:00:00 [idle_inject/1]
root          22       2  0 21:53 ?        00:00:00 [migration/1]
root          23       2  0 21:53 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 21:53 ?        00:00:04 [kworker/1:0-events]
root          25       2  0 21:53 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 21:53 ?        00:00:00 [kdevtmpfs]
root          27       2  0 21:53 ?        00:00:00 [inet_frag_wq]
root          29       2  0 21:53 ?        00:00:00 [kauditd]
root          30       2  0 21:53 ?        00:00:00 [khungtaskd]
root          31       2  0 21:53 ?        00:00:00 [oom_reaper]
root          32       2  0 21:53 ?        00:00:00 [writeback]
root          33       2  0 21:53 ?        00:00:00 [kcompactd0]
root          34       2  0 21:53 ?        00:00:00 [ksmd]
root          35       2  0 21:53 ?        00:00:00 [khugepaged]
root          36       2  0 21:53 ?        00:00:00 [kintegrityd]
root          37       2  0 21:53 ?        00:00:00 [kblockd]
root          38       2  0 21:53 ?        00:00:00 [blkcg_punt_bio]
root          39       2  0 21:53 ?        00:00:00 [tpm_dev_wq]
root          40       2  0 21:53 ?        00:00:00 [ata_sff]
root          41       2  0 21:53 ?        00:00:00 [md]
root          42       2  0 21:53 ?        00:00:00 [md_bitmap]
root          43       2  0 21:53 ?        00:00:00 [edac-poller]
root          44       2  0 21:53 ?        00:00:00 [devfreq_wq]
root          45       2  0 21:53 ?        00:00:00 [watchdogd]
root          46       2  0 21:53 ?        00:00:00 [kworker/1:1H-kblockd]
root          47       2  0 21:53 ?        00:00:00 [kswapd0]
root          48       2  0 21:53 ?        00:00:00 [ecryptfs-kthread]
root          49       2  0 21:53 ?        00:00:00 [kthrotld]
root          51       2  0 21:53 ?        00:00:00 [acpi_thermal_pm]
root          53       2  0 21:53 ?        00:00:00 [mld]
root          54       2  0 21:53 ?        00:00:00 [ipv6_addrconf]
root          62       2  0 21:53 ?        00:00:00 [kstrp]
root          64       2  0 21:53 ?        00:00:00 [kworker/u5:0]
root          68       2  0 21:53 ?        00:00:00 [charger_manager]
root          88       2  0 21:53 ?        00:00:00 [kworker/0:1H-kblockd]
root         106       2  0 21:53 ?        00:00:00 [scsi_eh_0]
root         107       2  0 21:53 ?        00:00:00 [scsi_tmf_0]
root         108       2  0 21:53 ?        00:00:00 [scsi_eh_1]
root         109       2  0 21:53 ?        00:00:00 [scsi_tmf_1]
root         119       2  0 21:53 ?        00:00:00 [kworker/0:2H-kblockd]
root         142       2  0 21:53 ?        00:00:00 [jbd2/sda3-8]
root         143       2  0 21:53 ?        00:00:00 [ext4-rsv-conver]
root         182       1  0 21:53 ?        00:00:01 /lib/systemd/systemd-journald
root         225       1  0 21:53 ?        00:00:00 /lib/systemd/systemd-udevd
root         273       2  0 21:53 ?        00:00:00 [irq/18-vmwgfx]
root         282       2  0 21:53 ?        00:00:00 [cryptd]
root         284       2  0 21:53 ?        00:00:00 [ttm]
systemd+     378       1  0 21:53 ?        00:00:20 /lib/systemd/systemd-oomd
systemd+     382       1  0 21:53 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     383       1  0 21:53 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         541       1  0 21:53 ?        00:00:01 /usr/libexec/accounts-daemon
root         542       1  0 21:53 ?        00:00:00 /usr/sbin/acpid
avahi        544       1  0 21:53 ?        00:00:00 avahi-daemon: running [thalia-VirtualBox.local]
root         545       1  0 21:53 ?        00:00:00 /usr/sbin/cron -f -P
message+     546       1  0 21:53 ?        00:00:01 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         548       1  0 21:53 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root         559       1  0 21:53 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         560       1  0 21:53 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         564       1  0 21:53 ?        00:00:02 /usr/libexec/polkitd --no-debug
root         565       1  0 21:53 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       568       1  0 21:53 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         575       1  0 21:53 ?        00:00:03 /usr/lib/snapd/snapd
root         577       1  0 21:53 ?        00:00:00 /usr/libexec/switcheroo-control
root         590       1  0 21:53 ?        00:00:00 /lib/systemd/systemd-logind
root         596       1  0 21:53 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         599       1  0 21:53 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        626     544  0 21:53 ?        00:00:00 avahi-daemon: chroot helper
root         665       1  0 21:53 ?        00:00:00 /usr/sbin/cupsd -l
root         672       1  0 21:53 ?        00:00:00 /usr/sbin/ModemManager
root         675       1  0 21:53 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
lp           686     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           688     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           689     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           691     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           695     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           696     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         697       1  0 21:53 ?        00:00:00 /usr/sbin/gdm3
lp           698     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           700     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           703     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           706     665  0 21:53 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
